窗口 1
轨迹 1
通道 1
参数 S11
扫描类型 线性扫描
起始频率 8.00000GHz
终止频率 12.4000GHz
扫描点数 201
数据格式 原始数据 
======================
频率(Hz)　　实部／虚部(U/U)
1.095e+010    7.949797e-003    -2.103343e-002 
1.097e+010    7.302484e-003    -2.046480e-002 
1.099e+010    6.988399e-003    -2.001818e-002 
1.101e+010    6.996401e-003    -2.005105e-002 
1.104e+010    7.000832e-003    -2.027302e-002 
1.106e+010    6.826045e-003    -2.019917e-002 
1.108e+010    6.592424e-003    -1.957680e-002 
1.110e+010    6.456839e-003    -1.881348e-002 
1.112e+010    6.233293e-003    -1.835609e-002 
1.115e+010    5.856925e-003    -1.816723e-002 
1.117e+010    5.570780e-003    -1.812332e-002 
1.119e+010    5.482612e-003    -1.823026e-002 
1.121e+010    5.413685e-003    -1.836115e-002 
1.123e+010    5.180454e-003    -1.822705e-002 
1.126e+010    4.889554e-003    -1.760740e-002 
1.128e+010    4.710958e-003    -1.688762e-002 
1.130e+010    4.592021e-003    -1.661134e-002 
1.132e+010    4.327146e-003    -1.665465e-002 
1.134e+010    3.982248e-003    -1.678647e-002 
1.137e+010    3.743079e-003    -1.681209e-002 
1.139e+010    3.654213e-003    -1.670717e-002 
1.141e+010    3.564278e-003    -1.640865e-002 
1.143e+010    3.430267e-003    -1.593539e-002 
1.145e+010    3.310613e-003    -1.552179e-002 
1.148e+010    3.127803e-003    -1.540021e-002 
1.150e+010    2.814939e-003    -1.549652e-002 
1.152e+010    2.444425e-003    -1.554972e-002 
1.154e+010    2.305024e-003    -1.542582e-002 
1.156e+010    2.337227e-003    -1.525263e-002 
1.159e+010    2.317028e-003    -1.503067e-002 
1.161e+010    2.151664e-003    -1.471628e-002 
1.163e+010    1.948529e-003    -1.438979e-002 
1.165e+010    1.765726e-003    -1.427229e-002 
1.167e+010    1.514182e-003    -1.435109e-002 
1.170e+010    1.251617e-003    -1.437624e-002 
1.172e+010    1.171597e-003    -1.421322e-002 
1.174e+010    1.249993e-003    -1.399813e-002 
1.176e+010    1.263494e-003    -1.378541e-002 
1.178e+010    1.089029e-003    -1.357983e-002 
1.181e+010    8.357899e-004    -1.336013e-002 
1.183e+010    6.342696e-004    -1.325022e-002 
1.185e+010    4.789787e-004    -1.325026e-002 
1.187e+010    3.979055e-004    -1.322394e-002 
1.189e+010    4.402350e-004    -1.311984e-002 
1.192e+010    5.078855e-004    -1.297656e-002 
1.194e+010    4.208016e-004    -1.283406e-002 
1.196e+010    1.461696e-004    -1.261909e-002 
1.198e+010    -4.686954e-005    -1.233798e-002 
1.200e+010    -5.649992e-005    -1.226276e-002 
1.203e+010    -6.761544e-005    -1.236891e-002 
1.205e+010    -1.223749e-004    -1.245208e-002 
1.207e+010    -1.946931e-004    -1.236923e-002 
1.209e+010    -2.705893e-004    -1.213403e-002 
1.211e+010    -3.623466e-004    -1.187098e-002 
1.214e+010    -4.667847e-004    -1.166662e-002 
1.216e+010    -5.193073e-004    -1.160829e-002 
1.218e+010    -5.613275e-004    -1.171308e-002 
1.220e+010    -6.404060e-004    -1.186632e-002 
1.222e+010    -7.713206e-004    -1.188923e-002 
1.225e+010    -8.868827e-004    -1.166574e-002 
1.227e+010    -8.755749e-004    -1.135634e-002 
1.229e+010    -8.668141e-004    -1.119980e-002 
1.231e+010    -9.756823e-004    -1.118290e-002 
1.233e+010    -1.131755e-003    -1.122474e-002 
1.236e+010    -1.227596e-003    -1.129595e-002 
1.238e+010    -1.285385e-003    -1.135859e-002 
1.240e+010    -1.372547e-003    -1.131255e-002 
======================
窗口 4
轨迹 1
通道 1
参数 S22
扫描类型 线性扫描
起始频率 8.00000GHz
终止频率 12.4000GHz
扫描点数 201
数据格式 原始数据 
======================
频率(Hz)　　实部／虚部(U/U)
8.000e+009    -9.961335e-001    -4.832364e-003 
8.022e+009    -9.956436e-001    -5.265685e-003 
8.044e+009    -9.948781e-001    -5.595265e-003 
8.066e+009    -9.943220e-001    -5.630398e-003 
8.088e+009    -9.943242e-001    -5.404236e-003 
8.110e+009    -9.948274e-001    -5.088598e-003 
8.132e+009    -9.953976e-001    -4.970699e-003 
8.154e+009    -9.956444e-001    -5.225654e-003 
8.176e+009    -9.953328e-001    -5.834816e-003 
8.198e+009    -9.946403e-001    -6.422404e-003 
8.220e+009    -9.939725e-001    -6.707704e-003 
8.242e+009    -9.936712e-001    -6.551872e-003 
8.264e+009    -9.938832e-001    -6.105584e-003 
8.286e+009    -9.943813e-001    -5.740432e-003 
8.308e+009    -9.947315e-001    -5.767626e-003 
8.330e+009    -9.946503e-001    -6.271155e-003 
8.352e+009    -9.941419e-001    -6.999861e-003 
8.374e+009    -9.934502e-001    -7.548583e-003 
8.396e+009    -9.929116e-001    -7.592024e-003 
8.418e+009    -9.928023e-001    -7.179264e-003 
8.440e+009    -9.930859e-001    -6.689758e-003 
8.462e+009    -9.934225e-001    -6.530542e-003 
8.484e+009    -9.934715e-001    -6.912744e-003 
8.506e+009    -9.930993e-001    -7.693199e-003 
8.528e+009    -9.924021e-001    -8.490642e-003 
8.550e+009    -9.917220e-001    -8.812116e-003 
8.572e+009    -9.912920e-001    -8.537175e-003 
8.594e+009    -9.912850e-001    -7.971754e-003 
8.616e+009    -9.915167e-001    -7.671455e-003 
8.638e+009    -9.916819e-001    -7.949713e-003 
8.660e+009    -9.914512e-001    -8.738127e-003 
8.682e+009    -9.908095e-001    -9.732514e-003 
8.704e+009    -9.899432e-001    -1.042648e-002 
8.726e+009    -9.892010e-001    -1.049139e-002 
8.748e+009    -9.888518e-001    -1.000436e-002 
8.770e+009    -9.889031e-001    -9.514841e-003 
8.792e+009    -9.890938e-001    -9.557593e-003 
8.814e+009    -9.890236e-001    -1.023776e-002 
8.836e+009    -9.884872e-001    -1.135440e-002 
8.858e+009    -9.875260e-001    -1.245098e-002 
8.880e+009    -9.864529e-001    -1.304269e-002 
8.902e+009    -9.856594e-001    -1.290141e-002 
8.924e+009    -9.853196e-001    -1.237733e-002 
8.946e+009    -9.852843e-001    -1.216128e-002 
8.968e+009    -9.852357e-001    -1.268031e-002 
8.990e+009    -9.848177e-001    -1.386489e-002 
9.012e+009    -9.838562e-001    -1.530606e-002 
9.034e+009    -9.824571e-001    -1.645197e-002 
9.056e+009    -9.810858e-001    -1.696905e-002 
9.078e+009    -9.801795e-001    -1.686964e-002 
9.100e+009    -9.798188e-001    -1.665209e-002 
9.122e+009    -9.796055e-001    -1.705372e-002 
9.144e+009    -9.791120e-001    -1.834407e-002 
9.166e+009    -9.780944e-001    -2.026638e-002 
9.188e+009    -9.764728e-001    -2.222677e-002 
9.210e+009    -9.745293e-001    -2.365628e-002 
9.232e+009    -9.728769e-001    -2.434617e-002 
9.254e+009    -9.719248e-001    -2.478153e-002 
9.276e+009    -9.713276e-001    -2.560651e-002 
9.298e+009    -9.707101e-001    -2.734093e-002 
9.320e+009    -9.695939e-001    -3.013819e-002 
9.342e+009    -9.678718e-001    -3.347669e-002 
9.364e+009    -9.656037e-001    -3.658216e-002 
9.386e+009    -9.632083e-001    -3.903668e-002 
9.408e+009    -9.613235e-001    -4.095975e-002 
9.430e+009    -9.600625e-001    -4.306158e-002 
9.452e+009    -9.598228e-001    -4.587663e-002 
9.474e+009    -9.593285e-001    -5.003484e-002 
9.496e+009    -9.581787e-001    -5.542809e-002 
9.518e+009    -9.563553e-001    -6.131736e-002 
9.540e+009    -9.543241e-001    -6.668513e-002 
9.562e+009    -9.525853e-001    -7.119453e-002 
9.584e+009    -9.517929e-001    -7.505038e-002 
9.606e+009    -9.523875e-001    -7.903482e-002 
9.628e+009    -9.536058e-001    -8.396487e-002 
9.650e+009    -9.544909e-001    -9.043284e-002 
9.672e+009    -9.545428e-001    -9.828677e-002 
9.694e+009    -9.537911e-001    -1.066636e-001 
9.716e+009    -9.524092e-001    -1.138995e-001 
9.738e+009    -9.509713e-001    -1.197619e-001 
9.760e+009    -9.502612e-001    -1.246608e-001 
9.782e+009    -9.508977e-001    -1.298787e-001 
9.804e+009    -9.516145e-001    -1.366044e-001 
9.826e+009    -9.509113e-001    -1.461332e-001 
9.848e+009    -9.474292e-001    -1.581152e-001 
9.870e+009    -9.414018e-001    -1.706252e-001 
9.892e+009    -9.333200e-001    -1.815162e-001 
9.914e+009    -9.235152e-001    -1.905927e-001 
9.936e+009    -9.125400e-001    -1.993342e-001 
9.958e+009    -8.994935e-001    -2.097958e-001 
9.980e+009    -8.805725e-001    -2.221809e-001 
1.000e+010    -8.530925e-001    -2.347678e-001 
1.002e+010    -8.145206e-001    -2.429493e-001 
1.005e+010    -7.668503e-001    -2.391828e-001 
1.007e+010    -7.174658e-001    -2.163514e-001 
1.009e+010    -6.753471e-001    -1.725485e-001 
1.011e+010    -6.501150e-001    -1.127041e-001 
1.013e+010    -6.476573e-001    -4.734289e-002 
1.016e+010    -6.661861e-001    1.066311e-002 
1.018e+010    -6.965198e-001    5.381380e-002 
1.020e+010    -7.310062e-001    8.214161e-002 
1.022e+010    -7.654834e-001    9.844580e-002 
1.024e+010    -7.980285e-001    1.058271e-001 
1.027e+010    -8.266716e-001    1.067329e-001 
1.029e+010    -8.503265e-001    1.038458e-001 
1.031e+010    -8.690190e-001    9.946722e-002 
1.033e+010    -8.832662e-001    9.506484e-002 
1.035e+010    -8.945382e-001    9.085742e-002 
1.038e+010    -9.041013e-001    8.678889e-002 
1.040e+010    -9.130347e-001    8.245982e-002 
1.042e+010    -9.213053e-001    7.780284e-002 
1.044e+010    -9.288233e-001    7.300698e-002 
1.046e+010    -9.351756e-001    6.866482e-002 
1.049e+010    -9.401883e-001    6.512659e-002 
1.051e+010    -9.440009e-001    6.218518e-002 
1.053e+010    -9.473343e-001    5.963194e-002 
1.055e+010    -9.503546e-001    5.712220e-002 
1.057e+010    -9.534070e-001    5.450162e-002 
1.060e+010    -9.564187e-001    5.189703e-002 
1.062e+010    -9.593897e-001    4.935895e-002 
1.064e+010    -9.620234e-001    4.714544e-002 
1.066e+010    -9.641875e-001    4.532130e-002 
1.068e+010    -9.657596e-001    4.379557e-002 
1.071e+010    -9.670257e-001    4.237765e-002 
1.073e+010    -9.682130e-001    4.098803e-002 
1.075e+010    -9.696454e-001    3.958072e-002 
1.077e+010    -9.712008e-001    3.821621e-002 
1.079e+010    -9.728313e-001    3.686641e-002 
1.082e+010    -9.742594e-001    3.569131e-002 
1.084e+010    -9.753281e-001    3.472516e-002 
1.086e+010    -9.760441e-001    3.393386e-002 
1.088e+010    -9.765060e-001    3.313269e-002 
1.090e+010    -9.770028e-001    3.229656e-002 
1.093e+010    -9.777529e-001    3.149689e-002 
1.095e+010    -9.787391e-001    3.072560e-002 
1.097e+010    -9.798081e-001    2.997258e-002 
1.099e+010    -9.807554e-001    2.925466e-002 
1.101e+010    -9.813466e-001    2.867860e-002 
1.104e+010    -9.815819e-001    2.818767e-002 
1.106e+010    -9.815887e-001    2.767572e-002 
1.108e+010    -9.817567e-001    2.710271e-002 
1.110e+010    -9.822427e-001    2.654144e-002 
1.112e+010    -9.830155e-001    2.600548e-002 
1.115e+010    -9.838156e-001    2.546669e-002 
1.117e+010    -9.844185e-001    2.493708e-002 
1.119e+010    -9.846440e-001    2.442628e-002 
1.121e+010    -9.845004e-001    2.399775e-002 
1.123e+010    -9.842497e-001    2.362111e-002 
1.126e+010    -9.843253e-001    2.326569e-002 
1.128e+010    -9.854013e-001    2.230731e-002 
1.130e+010    -9.861102e-001    2.190478e-002 
1.132e+010    -9.868092e-001    2.141655e-002 
1.134e+010    -9.871699e-001    2.091843e-002 
1.137e+010    -9.870687e-001    2.049077e-002 
1.139e+010    -9.866611e-001    2.025864e-002 
1.141e+010    -9.864056e-001    2.017523e-002 
1.143e+010    -9.866142e-001    2.002539e-002 
1.145e+010    -9.872533e-001    1.974948e-002 
1.148e+010    -9.880141e-001    1.935456e-002 
1.150e+010    -9.885184e-001    1.893299e-002 
1.152e+010    -9.885399e-001    1.852079e-002 
1.154e+010    -9.882032e-001    1.823425e-002 
1.156e+010    -9.877197e-001    1.810884e-002 
1.159e+010    -9.875575e-001    1.808890e-002 
1.161e+010    -9.879145e-001    1.804980e-002 
1.163e+010    -9.886358e-001    1.783438e-002 
1.165e+010    -9.893429e-001    1.753281e-002 
1.167e+010    -9.896409e-001    1.716860e-002 
1.170e+010    -9.894246e-001    1.679731e-002 
1.172e+010    -9.888985e-001    1.653051e-002 
1.174e+010    -9.884325e-001    1.647842e-002 
1.176e+010    -9.884266e-001    1.651189e-002 
1.178e+010    -9.889300e-001    1.648013e-002 
1.181e+010    -9.897120e-001    1.629781e-002 
1.183e+010    -9.903107e-001    1.600881e-002 
1.185e+010    -9.904284e-001    1.562003e-002 
1.187e+010    -9.900377e-001    1.526624e-002 
1.189e+010    -9.894235e-001    1.509070e-002 
1.192e+010    -9.890756e-001    1.509197e-002 
1.194e+010    -9.892382e-001    1.515213e-002 
1.196e+010    -9.898565e-001    1.511998e-002 
1.198e+010    -9.905825e-001    1.494472e-002 
1.200e+010    -9.910210e-001    1.464401e-002 
1.203e+010    -9.909356e-001    1.427857e-002 
1.205e+010    -9.903815e-001    1.397435e-002 
1.207e+010    -9.898019e-001    1.382595e-002 
1.209e+010    -9.896147e-001    1.386494e-002 
1.211e+010    -9.899464e-001    1.395455e-002 
1.214e+010    -9.905790e-001    1.394570e-002 
1.216e+010    -9.911798e-001    1.377478e-002 
1.218e+010    -9.913731e-001    1.348158e-002 
1.220e+010    -9.910402e-001    1.315270e-002 
1.222e+010    -9.904234e-001    1.291761e-002 
1.225e+010    -9.900052e-001    1.288479e-002 
1.227e+010    -9.900979e-001    1.301051e-002 
1.229e+010    -9.906608e-001    1.313351e-002 
1.231e+010    -9.913327e-001    1.315119e-002 
1.233e+010    -9.917448e-001    1.298146e-002 
1.236e+010    -9.916824e-001    1.266539e-002 
1.238e+010    -9.911822e-001    1.237004e-002 
1.240e+010    -9.906141e-001    1.225639e-002 
======================
